DATE,MEASURE_NAME,OBS_VALUE,Temp,Implied_date,Geo
2015-12-01,Claimant count,84.3216320502704,-01,2015-12-01,England
2015-11-01,Claimant count,84.87399824806528,-01,2015-11-01,England
2015-10-01,Claimant count,87.03495906119466,-01,2015-10-01,England
2015-09-01,Claimant count,88.1078380980649,-01,2015-09-01,England
2015-08-01,Claimant count,89.17709743508068,-01,2015-08-01,England
2015-07-01,Claimant count,89.2943757103661,-01,2015-07-01,England
2015-06-01,Claimant count,89.60349807793938,-01,2015-06-01,England
2015-05-01,Claimant count,92.54486617969638,-01,2015-05-01,England
2015-04-01,Claimant count,95.62016317606944,-01,2015-04-01,England
2015-03-01,Claimant count,97.94763018250526,-01,2015-03-01,England
2015-02-01,Claimant count,101.16192365329067,-01,2015-02-01,England
2015-01-01,Claimant count,99.4852786806918,-01,2015-01-01,England
2016-12-01,Claimant count,87.00527752238784,-01,2016-12-01,England
2016-11-01,Claimant count,87.85011546842536,-01,2016-11-01,England
2016-10-01,Claimant count,88.65006913626722,-01,2016-10-01,England
2016-09-01,Claimant count,88.63993397667466,-01,2016-09-01,England
2016-08-01,Claimant count,88.81802320951546,-01,2016-08-01,England
2016-07-01,Claimant count,87.96087828397269,-01,2016-07-01,England
2016-06-01,Claimant count,88.42854350517256,-01,2016-06-01,England
2016-05-01,Claimant count,90.05234085989589,-01,2016-05-01,England
2016-04-01,Claimant count,91.3576046274243,-01,2016-04-01,England
2016-03-01,Claimant count,92.48695098202458,-01,2016-03-01,England
2016-02-01,Claimant count,91.90055960559751,-01,2016-02-01,England
2016-01-01,Claimant count,88.62183547740221,-01,2016-01-01,England
2017-12-01,Claimant count,93.841442667574,-01,2017-12-01,England
2017-11-01,Claimant count,92.84530126761888,-01,2017-11-01,England
2017-10-01,Claimant count,93.15949121498845,-01,2017-10-01,England
2017-09-01,Claimant count,93.36291834681069,-01,2017-09-01,England
2017-08-01,Claimant count,93.50119088125213,-01,2017-08-01,England
2017-07-01,Claimant count,93.16890243461012,-01,2017-07-01,England
2017-06-01,Claimant count,93.92614364416903,-01,2017-06-01,England
